text	sentiment
"$WMT down more than 7% premarket, and nearly 15% over the past month.
Now almost on par with the drop of $COST during a similar period.
If I'm choosing one of these to play, it is $COST.
On watch."	1
Walmart $WMT down 9% - but it 100% representative of the state of the economy for 80% of the population. The top 1% have no clue how bad things are getting for most households. Note: WMT sales ex-real inflation were down big	0
BlackRock is smart enough to invest/venture into $USDC Circle with $400M $BLK. They know how to pick the winner, and hedge the loser $UST.	1
"why buy most other ETFs when we only need to buy $BRK.B?
#Berkshire #ETF #valueinvesting"	1
"/ 
@elonmusk
 has demonstrated that you can be smart , rich , famous and Stupid As Hell . This Aaa Hat has driven down stock price of 
@Twitter
 and 
@Tesla
 buy Weaponizing 
@Twitter
 as means to drive deal . Think about how he will F with the stock market daily 
@MSNBC
 
@CNN
 JustSayNO!"	0
I'm an investor in $LOW, but I have no problem saying $HD's long term outlook is as strong as its ever been IMO...	1
"Earnings for Wed, May 18 (BEFORE THE )

$TGT Target Corp. ⏰ 6:30 AM ET
 - EPS: $3.02 | Rev: $24.42 B

$ZIM ZIM Integrated Shipping Services Ltd. ⏰ 7:00 AM ET
 - EPS: $12.65 | Rev: $0.00 M

$LOW Lowe's Companies, Inc. ⏰ 6:00 AM ET
 - EPS: $3.24 | Rev: $23.78 B"	1
Dorsey's choice of who would succeed him as CEO of $TWTR just seems like another chapter in his mismanagement of the business.	0
The case for Piedmont Lithium $PLL and why $GM will go bankrupt again https://simonschase.co/piedmont-lithium/	0
"“ Warren Buffet “ : worlds greatest & best  investor wants to buy more #Apple stock at current rates 

“ Micheal Burry “ : world’s 1 of the best trader is shorting #Apple at current market price

I think later one is going to go wrong here as shorting $AAPL after -20% is insane !"	1
"What the charlatan really says:  Mission Accomplished.

""I have no longer use for $TWTR. I successfully  liquidated tons of ridiculously overvalued 
@Tesla
 shares without it blowing up in the process.""

How anyone still can not see that 
@elonmusk
 is so full of shit is beyond me."	0
$JMIA growth acceleration. Orders increased by 40% YOY. GMV increased by 27% YOY. Revenue increased by 44% year-over-year	1
"Looking back at all of Twitter's 10-Q and 10-K filings since 2015, the number of fake accounts has *systematically* been estimated at “less than 5%” of active users. $TWTR

Well, ain't this a fortuitous statistical oddity! 
@elonmusk"	0
$FB Instagram CPMs (cost per thousand impressions) continue to improve. In May 2022, they equaled $10.92 CPM, which is higher than last year's $9.82 and the year prior $7.16. 1/4	1
"After falling over 50% in a year, it looks like people are buying the $BABA dip.

The stock is up +12% this morning.

Here's the weekly chart...

Are you in or out?"	1
"Here’s some of my favorite Dividend Kings 

$PG Procter & Gamble
$KO Coca-Cola
$MMM 3M 
$JNJ Johnson & Johnson 
$TGT Target
$ABBV AbbVie
$LOW Lowe’s
$PEP PepsiCo
$MO Altria Group
$ABT Abbott Labs

Are you holding any of these?"	1
Still can’t believe $ABNB released a “categories” tab and called it their biggest change in a decade	0
"Sunworks, Inc's quarterly revenue growth rate YoY of 269.20% ranked 164 out of 5731 companies in our database. 

https://stockideashq.com/stocks/sunw?source=twitter-bot $SUNW"	1
"Replying to 
@MrBuyside
Happy to see $SE beat on revs. 

Only Meli and SE still have revenue growth above their June 2020 quarter."	1
$BWV $AUVI $DTC - LI, ARVL and SUNW among pre market gainers	1
"I'm kind of excited to add $TGT to my Buy list - Before, they've always been right on the money, as in, not worth buying because they're priced exactly as they ought to be. Now, like their brick-and-mortar store items, 
@Target
 stock is a bargain!"	1
"$auvi Bearish Now 

$veru Bullish 

$qqq Bullish"	0
$AMZN -40% in 30 trading days.	0
Still no reaction from tech stocks with yields dropping like a stone. These are the companies most resilient with earnings... $MSFT $AAPL $NVDA $TSLA $GOOG	1
"Update 
cutting $AUVI not feeling confident in it

#daytrader #investor #trading
"	0
Sea Limited traded 75% above average volume, $SE up 13.74%	1
$AUVI I want to see $1.40 as our new support and build brick by brick from there.	1
"As Tesla $TSLA trades in record territory again, here are my future price targets for the stock.  Still holding all of my shares at $124.

$1,300 - by 2023
$1,500-$1,600 by the time my tri-motor Cybertruck is delivered
$3,000 - by 2026
$5,000 - by 2031"	1
$LUV Best long-term play in US Airline industry. LUV will be profitable the remaining three quarters this year. They have a multi-year fuel hedging program to provide insurance against spikes in jet fuel prices with significant fuel hedging protection in 2022 #oil #natgas	1
"*AMAZON SHARES SINK TO LOWEST LEVEL SINCE APRIL 2020 

$AMZN"	0
Who else received their $ABBV dividend payment today. 	1
"$AAPL is consumer discretionary for a reason.. 

For $AAPL stock to go up you need a) consumer b) discretionary spend 

Both are AWOL LOL"	0
"Top Watch  

$IDRA
$AUVI 
$PPSI 
$ONON 
$SE 
$BRDS 
$MITQ 
$JMIA 
$DTC 
$SUNW"	1
Some reassuring comments from $BABA CEO ahead of earnings.... https://scmp.com/tech/big-tech/article/3177335/alibaba-ceo-reassures-employees-amid-economic-and-regulatory	1
"FREE #OPTIONS Ideas 

Scale out when above 25% Profit

$AAPL 150C>147.19 | 144P<144.51 (TOP PICK)
$MU    72C>71.87 | 70P<70.49
$NVDA 180C>177.20 | 170P<171.74
$MRNA 141C>140.82 | 134P<134.60

Tomorrow is a Critical day in the stock market be READY

101 for SECRET Bonus Picks"	1
"you can't make this up

$UPS
$WMT
$KR

all up today, all segments $AMZN is in logistics,retail,groceries

but Amazon has cloud and that makes it tech, which makes it a $0"	1
"$JMIA

Squeeze Em!

#Stocks #Shortsqueeze"	1
"This chart shows the last 6 years of  $AMZN. The Trend line shows the 6 year uptrend! 

If this cracks, you will have an amazing bargain price!"	1
"Premarket movers 
$PPSI +20%
$BRDS +35%
$MITQ +39%
$IDRA +60% "	1
"What's going on with $GLBE?
I mean, an overreaction is one thing but this reversal is next level.
Congrats to anyone that bought on the low this morning."	1
Elon Musk is poor. Has a bunch of overvalued $TSLA pumped w/ government subsidies and some Ponzi #Bitcoin to sell though.	0
"$F: Always a great market buy, look how well it comes out of #recessions and periods of #inflation... 
@Ford
 #investing #trading #Tradingview"	1
"This is a massive fuckin deal. 

Elon, Tesla, and SpaceX are about to secure significant future materials that many other companies will need as well in the future. 

They are thinking 10 steps ahead of everyone.

$TSLA #Tesla"	1
A compendium of the criminal Elon Musk's frauds, to which we could add the $35K Model 3, Flint water crisis relief, $6B to end hunger, autonomous drive across the country (in 2017) ... oh screw it, just go here: http://elonmusk.today #ElonQ $tslaQ $TSLA	0
$IIPR at a 5% yield seems like a solid buy 	1
Elon Musk is using a 'dog ate the homework' excuse to potentially back out of buying Twitter and there is now a less than 50% chance the deal gets done, Wedbush says	0
"$IDRA +58% 
""According to topline data, SLN-positivity rates stood at 70% lower for patients who received tilsotolimod, compared to those in the placebo arm"""	1
"Elon Musk is poor. 

Has a bunch of overvalued $TSLA pumped w/ government subsidies and some Ponzi #Bitcoin to sell though.
"	0
$UPST straight plummeting following earnings 	0
$SE - Sea Limited jumps as Q1 tops expectations, tweaks guidance citing 'elevated macro uncertainties'	1
"This will be heard, throughout the entire world. 
$AMC $GME"	1
"JACKED alert: #GameStop is hiring a 3D Designer for their NFT Marketplace team to ""work with top brands in designing NFTs to drop on our marketplace."" #GME $GME
"	1
"This guy’s the John Madden of stocks and his fund just sold Tesla to buy $AMC and $GME
"	1
"Today’s Top % Gainers:

 NASDAQ: $SRGA $TNXP $PTE $MKD $AUVI
 NYSE: $JMIA $SUNL $JBI $SES $CTOS
 AMEX: $MITQ $CVM $GROY $INUV $ZOM 
 OTC: $GHMP $PDPG $ILST $KEGS $ALCUF"	1
Big money coming in. Told you the pushback will be very fast. $NIO	1
"Awesome move in $ABNB today

Sentiment turning aggressively bullish "	1
Would love to see $XOM take a walk in the clouds above $93.  #Oil	1
"JUST IN:
TESLA TO RECALL 107,293 UNITS OF SHANGHAI-MADE MODEL 3 & MODEL Y FROM MAY 23.
https://samr.gov.cn/zw/zh/202205/t20220516_344869.html
#CHINA #TESLA $TSLA"	0
$SQ $NVDA paying today	1
"$AAPL - bear flag remains in place. Failure to get over the 5 day moving average

#Top5in5"	0
I think $TGT will have margin compression, but I predict their overall earnings will be much stronger than Walmart’s. Stock might still react negatively. But I don’t think $TGT has gotten enough credit for its turnaround, and it is cheap relative to peers. I’m long.	1
My $abbv shares are generating over $1,300 in passive income on a yearly basis without reinvesting. Not bad. This gives the stock support in a rocky market.	1
$WMT is down more than 6% after cutting guidance	0
SELL EVERYTHING, BUY $TSLA 	1
" WATCHLIST! 

Expected moves: 
$AAPL ±$5.74
$AMD ±$5.88
$NVDA ±$12.26
$WMT ±$6.88 

Green levels- ideal entry 
Blue levels- potential price targets/ re entry points. 

Taking the cons with the most volume in the EM. "	1
"Can't wait for the launch of these in the weeks to come

#WorldMobile #StrongerConnected $WMT"	1
"$GLBE 
Check this out -  largest volume since IPO after earnings result didn't seem as bad as one originally thought.  
 
Still under IPO and 74% under the highs. 
 
GMV: $455 million, up 71%. 
Revenue: $76.3 million, up 65%. 
Gross profit: $29.9m, up 94%. 
 
#SMAPRO"	1
Update: Intraday max move up from alerted UP prices: $AGRI 7% $AUVI 18% https://stockhorizon.com/?marker=5b694116262744146b75ad21c7acb868#performance	1
Also with AbbVie rallying and the dividends coming back in today, and buying a couple of shares with some spare cash, $abbv is now 24% of my portfolio. AbbVie is a phenomenal company to hold for a lifetime. 118 cost basis for 236.5 shares.	1
"News; $MKD Penny Stocks To Buy Now? 4 To Watch Under $1 This Week https://marketwirenews.com/news-releases/penny-stocks-to-buy-now-4-to-watch-under-1-this-week-6360271252467768.html?t=81430
    
 #MWN #Stocks 
@Inbar772
 
@Manifestxxx
  $PTE $EDTXW $ERBB $AUVI"	1
"Happiness as per most people’s definition, is not what 
@elonmusk
 pursues. A better future for human is. I have no concern regarding the distraction from the Twitter deal. It simply creates better opportunity to buy more $TSLA. I do worry about Elon’s safety. 1/X"	1
$HD solid earnings beat across the board, with comps +2.2% vs est (3.0) a big standout; shrs +4.6% in pre-mkt trading	1
"+7% to the top if you exited like a king.

Now on $BRDS"	1
$PPSI - Pioneer Power GAAP EPS of -$0.08 misses by $0.01, revenue of $6.04M misses by $1.62M	0
"Heads up, Airbnb, AMD, Lyft, & Starbucks are reporting after the close. 

Here's the price action on the day so far...

 $ABNB  6.60%
 $LYFT  3.60%
 $SBUX  1.57%
 $AMD  0.50%"	0
When $GFAI squeezes it will be epic.. their next earnings will slay it with all they have going on now.. 4800 robots delivered already now COVID relief in China .. They still have the T-Series coming out! Long here..	1
"Early Gainer Run = $AUVI = Like if Bullish !

#StockMarket #stockstowatch #401k"	1
"Who made this glorious NFT and sent it to me??  This is FUNNY AF!! TY!!!   I love this community!! $GME #GameStop #GME
"	1
"$TSLA #TSLA Weekly Chart

Once we break down from $700, I expect us to hit my downside target of $500 - $550.

Charts courtsey of 
@trendspider"	0
"Hey Elon. If you're so concerned about fake accounts, start here:

Who, exactly, are the people behind $TSLA propaganda account 
@WholeMarsBlog
? Why is it such a secret? Do you or Tesla compensate them in any way, or have you ever?"	0
"Fun Fact: @Waymo open sources its self-driving dataset, and invites the public to solve various challenges.
#Tesla hides its data set, and refuses to release even basic disengagement statistics.
#PhonyStark #FullSelfDriving #Robotaxis #Vaporware $TSLA $TSLAQ"	0
Update: Intraday max move down from alerted DOWN prices: $BRDS 13% $IDRA 15% $PPSI 10% https://stockhorizon.com/?marker=5b694116262744146b75ad21c7acb868#performance	0
"Congrats to all the $DIS, $UBER, and $TWLO bulls. 

Awesome beats!"	1
$AUVI setting up to be a late bloomer. over 34 million shares traded on a float that is under 7 million. Its got to pop sooner or later.	1
"If you took the $TGT puts don't be greedy, take those profits  and a big #Congratulations on the trade! 
#trading #OptionsTrading #stocks"	1
$SE  residual stopped  BE    scott got bailed out	0
"$VYM might be my new favorite dividend ETF.

Who owns this one?"	1
$AUVI with the textbook wave riding the 50 on the 2min .. beautiful to see 	1
$XOM 100% Profitability across 5 trades in 1 month. Rating is Bullish.	1
"Ariose Capital Management 13F:

New: $BABA $JD $NTES $NFLX

No change: $CRSP

Exited: $NVDA $QCOM $NKE $NOC $EL $EDU $CSIQ $TSLA (another one that's out) $CAN $RBLX 

After double digit losses in 2019 and 2020 they have back to back years of 40%+ gains for 2021 and 2022 so far."	0
"The damage that 
@elonmusk
 has recently done to his own reputation as well as the 
@Tesla
 brand is incalculable. Surrounded by ""yes"" people & wallowing in a megalomaniac-like thought process, he probably doesn't even fully realize the harm he has done."	0
$BRK.B joins me in holding $ALLY and $PARA	1
Remember last time I pounded the table on $GFAI under $0.50…. it ran to $1.9. We’re gonna do it again. Revenue, acquisitions.	1
"$MSFT biggest competitive advantage is the ability to buy any company without regulatory scrutiny.

Maybe $FB will have this opportunity in 15-20 years."	0
Why is everyone shocked $wmt numbers were bad? $amzn told you retail was trash and you guys kept bidding up Walmart everyday for no reason. You really thought people quit spending on Amazon and the surplus went to Walmart?	0
And, what do u say about stock price of $AMZN now? What are u going to do about it? It is a mess. The whole situation.	0
"At first glance $SE numbers look good  

Market looks like it might want to have a decent day as well 

Y’all have a great day and I’ll see y’all after the close. 

"	1
"Weed stock gains still accelerating in pre-market. 

$TLRY +17%
$ACB +12.5%
$CGC +12%
$MJ +6.6%"	1
This is a massive fuckin deal. Elon, Tesla, and SpaceX are about to secure significant future materials that many other companies will need as well in the future. They are thinking 10 steps ahead of everyone. $TSLA #Tesla	1
I'm no chartist, by a long shot, but isn't $TSLA looking pretty sucky right now?	0
$O seems to be a staple in all of us dividend investors. I don’t see too many on my timeline who don’t have it	1
SPAC darling $SOFI is getting slaughtered today ahead of earnings, which are due after market closes 	0
"$DIS earnings are really strong.

Revenue $19.25B
Adjusted EPS $1.08

The big surprise subscribers:
-Disney+: 137.7M up 33% YoY (added 7.9m vs estimates of 4-5m)
-ESPN+ subs 22.3M up 62% YoY

Long."	1
" Pre-Market Movers  

$HUSN $IDRA $MITQ $BRDS $RHE

Good Morning Everyone "	1
$WMT has a cost problem	0
"Walmart sinking more than 10% today, on pace for its worst day since 1987, as the CEO warns inflation is eating into its bottom line. J.P. Morgan's Chris Horvers explains the ""bifurcation"" happening in the consumer and one name he's most bullish on reporting this week. $WMT $HD"	0
"$WMT
 The result of allowing more unpaid customers to walkout without penalty."	0
$SWKS drop is painful.	0
$FB is a screaming buy	1
$WMT is the #1 trending ticker on Stocktwits with a 48.20% positive sentiment	1
It’s a beautiful, watching the prophecy unfold $GME	1
"D.E. Shaw back with a decent stake in $GME again- 663,661 shares

Fun fact: D.E. Shaw was the hedge fund that Jeff Bezos kicked off his Wall Street career at before before he left to start Amazon.

https://t.co/giidVVMf8s"	1
"The highest volume in premarket  $IDRA $DBGI
 $MITQ  $BRDS  $SNDL"	1
$ctra 	1
$AUVI momentum continuing. Price up another 4.69 % since last mention. First mentioned at 08:05 AM ET. Now trading at $1.34. #AUVI #premarketscan	1
Nice 9% pre market move for $para, pump my calls Uncle Buffett 	1
Ford $F settled -3.3% to $13.05. It sold more of its $RIVN garbage last Friday.	0
"Dear @mjburnsy,
2 years ago, you wrote that #Tesla was ""retooling facilities to build ventilators"" for dying #COVID patients.
Are you going to now follow up & find out how many #PhonyStark's company's really built?
$TSLA $TSLAQ (Hint: 0)"	0
"WOOHOO  PRE MARKET MOVERS :
$PARA 30.99(+10.60%), $CWEB 5.63(+9.96%), $ONON 22.00(+7.84%)"	1
$RBLX Having a hard time holding onto any momentum. The market is green and everything’s running kind of feel like we’re stuck in the mud	0
"*MICHAEL BURRY OF 'THE BIG SHORT' REVEALS BET AGAINST APPLE - CNBC

$AAPL"	0
Before this print $WMT was in the green ytd vs -27% #retail index. Comps right in line 3%. How they were surprised by costs/mix shift to lower margin grocery (where they are gaining share) is a head scratcher. But hey weather driving grill sales now. More momentum for $HD	1
$JMIA who's ready	1
And hiring Forker wasn't just sheer luck. Every employee AND leader that had knowledge should resign from Southwest.  Sadly, one is now the executive chair after he bet the entire future of $LUV on the #737Max.  Shame.	0
Everyone knew you would back out of the deal when $tsla crashed and you almost had to pay back your margin loans. You should just tell the truth instead of manipulating your followers, it’s catching up with you.	0
"Fun Fact: 
@Waymo
 open sources its self-driving dataset, and invites the public to solve various challenges.
#Tesla hides its data set, and refuses to release even basic disengagement statistics.
#PhonyStark #FullSelfDriving #Robotaxis #Vaporware $TSLA $TSLAQ"	0
$AUVI crosses the $1.45 make entry for a $1.55+ target.	1
Because he never did, just getting a new fanbase to defend him and his fraud + an excuse to pump and dump some shares to grab much needed cash. #yougotmusked $elonq $tslaq $tsla	0
$AAPL  #GoNoGo  Flashing its first weekly warning sign since 2020 lows	0
$COST looks so good here, its still the place to shop for those worried about inflation and recession.	1
"When the smoke clears, the same problem for investors will remain - what is the best investment alternative?
Passbook savings / CDs? No
Bonds? Ummm, I don’t think so
Real Estate? Not for the long-term.
In the end, it will be $AAPL $GOOGL $AMZN along with high-divs like $IRM"	1
"Good Morning #APES we are here to stay until we get our payday!  $AMC $GME we are here and we are #APESNOTLEAVING #ApesTogetherStrong
"	1
$NVDA Firstly, we acknowledge that NVIDIA has a significantly high ROE. Secondly, even when compared to the industry average of 19% the company's ROE is quite impressive. #cyber #cloud #security #netsec	1
"**Earnings reports**

YTD chart of most anticipated companies to report tomorrow - Wed, May 18th

SQM $SQM: 64.4%

ZIM $ZIM: 16.6%

Target $TGT: -5.4%

Cisco $CSCO: -22.4%

Lowe's $LOW: -23.8%

Synopsys $SNPS: -24.1%

TJX $TJX: -25.7%

https://torto.ai/compare/?assets=ZIM%2CCSCO%2CTGT%2CSQM%2CLOW%2CSNPS%2CTJX&utm_source=twitter&utm_medium=post&utm_campaign=earningsreportcompare"	0
$WMT #WMT Solid setup here.	1
Walmart $WMT is currently on pace for its worst trading day since 1987	0
"I love my monthly paycheck from $O

Who else holds this monthly dividend REIT?"	1
$EIFZF - Exchange Income raises dividend by 5% to CAD 0.20	1
$WEAT up 15% on the day 	1
$AUVI has room to $1.50/$1.90. If we get an extension we can see $2/$2+. Currently needs to hold above $1.10 and break over $1.30.	1
"With autonomy in every car, one day kids will only learn about DUIs and drunk driving deaths from their history textbooks. 

$TSLA 
@elonmusk"	1
"#Tesla Goes SpaceX Vertical, Breaks US$1 Trillion MC And Leaves Legacy Autos In The Dust. #Lithium Supply Shock Tsunami Wave Is Still To Come After This Earthquake. http://kirillklip.blogspot.com/2021/10/tesla-goes-spacex-vertical-breaks-us1.html

$TRRXF #TNRGold $TNR.v #Royalties #MarianaLithium #Ganfeng $GNENF $TSLA $LIT $BATT #EVs"	1
This guy’s the John Madden of stocks and his fund just sold Tesla to buy $AMC and $GME	1
"Love articles like this acting like #GME is over. 

Hyping a documentary about the “fall of #Gamestop” 

Hint: it’s not over for $GME. Not even close. But nice try MSM!"	1
$WMT $TGT $COST - Walmart slides and rattles retail sector with lowered profit guidance	0
"$TLRY +16% going into the close.

Are we bullish on weed yet?"	1
$RBLX Roblox Corp gifts a nice 20% win from the Channel Break, hitting the VAH now, all levels provided at 6.30am, while others sleep we plan.	1
"#BullishAlert 
Bullish Stock Alert: $ABT at $114.74

This alert is meant for swing and day traders. For details, please see the pinned tweet on top of our profile.

#StocksToWatch #SwingTrading"	1
"$SE up big. Mazal tov to the longs and dip buyers.

@Amarillo_Slim1
 
@BigBullCap
 
@saxena_puru"	1
"The obliteration continues...

$COIN down 18% after the open "	0
"Sea Game Revenue Tops Estimates, Offsetting E-Commerce Slowdown https://finance.yahoo.com/news/sea-quarterly-loss-widens-consumers-104605946.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr via 
@Yahoo
 $SE #StocksToWatch"	1
$SUNW's in Downtrend: Moving Average Convergence Divergence (MACD) Histogram crosses below signal line. View odds for this and other indicators: https://srnk.us/go/3665744 #Sunworks	0
"Get caught up on last week's happenings in today's Weekend Rip!

 $NFLX fell 23% amid subscriber outlook downgrade
 Crypto enters bear conditions
 $PTON dipped 24% on production halts; layoff rumor
 Activists pick up stakes in $KSS, $UL on the dip"	0
$NQ $ES $TSLA $MSFT $AMZN $NVDA yes I’m here for turnaround Tuesday	1
They gave me 8 likes when I called $AUVI at $0.90. I think I might start giving secret alerts to my loyal supporters now	1
"I’ll pay $10,000 to the charity of 
@elonmusk
’s choice if 
@tesla
 open sources all the “Full Self Driving” data. 

But that won’t happen.

Because Musk knows the biggest fraud in public markets is his own."	0
"$MULN up 48% since this post from 
@NauticusTrading
!"	1
"$DDOG $NET $SNOW $GTLB $MDB are all horrible businesses and sure to go to 0

Plz keep selling them indiscriminately so I can buy more shares "	1
As a shareholder of $BRK.B, I demand a full letter on why Buffett bought $PARA, I mean seriously	0
The goal is to accumulate the most shares in the best companies in the world. I’ll say it again… The goal is to accumulate the most shares… #tesla $tsla	1
"I told you guys , we will push it when it is time to push it. Sick and fu*k*in tired of them running retail over out here. This shit ends now. $AMC $GME 
We squeeze the stocks, and never let go. Even when they can’t breathe. We still don’t let go. We never let go. 
"	1
They are liking $ONON this morn.  $SMH	1
"$5 to $7 move higher coming for $ctra very soon.  
My target is $37 to $40.  "	1
Looks like we shaping up for a bullish Tuesday $qqq $nvda	1
I gave you $AUVI at 0.90 . Put some respect on my name . News out today . Always ahead! No need to “pump” !	1
Long term $JMIA holders will be rewarded	1
"Another 4000 Teslas export delivery made from Giga Shanghai.  

Giga Shanghai is coming back with vengeance! 

$TSLA #Tesla"	1
"$SNAP is up 40% in after hours after earnings 

Congrats to all the bulls who stayed in "	1
IMO $FB is already at a good price to buy. At this price reality labs don't even need to be a success to justify this valuation. If metaverse doesn't work, $FB will cut OPEX and CAPEX related to it, so operative margins will reach previous level.	1
"Crazy Eddie Memoirs: The downfall of Elon Musk is almost impossible to predict because America never had a narcissist crook worth over $200 billion.
$TWTR $TSLA $TSLAQ"	0
"I have no doubts that people will eventually lose their life savings in some bullshit like $tsla

And then people while whine and wonder why nobody saw this coming

The signs were always there just nobody paying attention 

It's inevitable...  to all tesla pumpers"	0
"What do you think about the Semiconductor sector? 

There seems to be a lot of great stocks trading at a low valuation.

For example 

$SWKS $QCOM $MU"	1
"No wonder $FB keeps dropping

Banned in Russia...banned in China

Launched Metaverse in Oct 2021 and now launching a physical store! Is this a joke?

Whoever owns FB, the joke's on you!

Because Zuck has been selling his stock!"	0
$ONON's in Downtrend: Moving Average Convergence Divergence (MACD) Histogram just turned negative. View odds for this and other indicators: https://srnk.us/go/3663717 #OnHoldingAG #stockmarket #stock	0
$HLF - Herbalife Nutrition downgraded to ‘Hold’ as post-pandemic reality sets in	0
$DOCU taking damage in after hours following earnings	0
$AVRO - Avrobio stock rises as gene therapy for rare disorder shows promise in interim data from trial	1
I’ve noticed a clear trend the past year: FB newsfeed littered with marketing videos for scammy products, like a virtual QVC. $FB often cited as a quality firm. But how much of their ad revenue is solid? The product experience is awful. Smells more like a $ZM than a $MSFT? 	0
"Consumer staples are household essentials—products that people can’t/won’t do without. Think food, beverages, tobacco, and household products.

These types of stocks hold up well even during economic turmoil.

Here are 7 quality stocks.
$UVV
$MDLZ
$UL
$KDP
$RBGLY
$MO
$BTI"	1
This weekend, I enjoyed celebrating my favorite #dividend stock of all time, $JNJ! (I think I’ll add to my position this week.) Make sure to follow me on Instagram for fun updates like this one!  Who else enjoys investing in JNJ? (Disc: I’m long JNJ) https://instagram.com/p/CdoERZyJfCF/	1
"what is shakin' with $JMIA +28% move today?  also $INVO just reported and signed new agreement #StocksInFocus #Tradingview #stocks #SwingTrading #smallcaps #microcaps #StocksToTrade 
@anyatrades
 
@StocksDiva
 
@betrbiz
 
@MayaTrades"	1
"The All-In Podcast Elon interview was one of the best interviews I’ve seen of Elon. 

This is the type of setting, environment, and questions that bring out the best of Elon. 

Watch it! 

https://youtu.be/CnxzrX9tNoc

$TSLA #Tesla"	1
"@VoltInuOfficial
  Believe me the reversal is imminent! Do y’all know who you VOLTING with..One direction numbers! $VOLT #voltarmy 
@elonmusk
 
@saylor
 $tsla #plaidarmy"	1
"TOP GAINERS 

$MITQ $BRDS $PPSI $IDRA $AUVI"	1
"Social Media stocks catching bids alongside $TWTR’s +30% move.

$FB +3.5%
$SNAP +4.5%
$SOCL +5.5%
$PINS +11%"	1
Always suspicious when no specific amounts mentioned $AUVI	0
"*APPLE SHARES FALL 22% FROM JANUARY PEAK AMID TECH SELLOFF 

$AAPL"	0
"Search trends for Instagram Reels continue to rise sharply around the globe.

India remains a very strong market: $FB"	1
